,StockCode,total_quantity,total_revenue,avg_price,num_customers,num_invoices,num_countries,cluster,cluster_label
179,20615,385,522.99,1.810886075949367,59,78,4,1,Low-demand Product
180,20616,167,220.43,1.6552272727272728,31,44,2,1,Low-demand Product
181,20617,279,571.51,2.132702702702703,59,74,9,1,Low-demand Product
182,20618,193,400.38000000000005,2.0889189189189192,50,74,4,1,Low-demand Product
183,20619,279,488.53000000000003,2.149264705882353,46,68,6,1,Low-demand Product
184,20620,1,2.1,2.1,1,1,1,1,Low-demand Product
185,20621,126,264.6,2.1,23,29,2,1,Low-demand Product
186,20622,329,606.0600000000001,2.0520731707317075,59,82,6,1,Low-demand Product
187,20652,469,540.32,1.2953333333333332,73,89,8,1,Low-demand Product
188,20653,154,162.94,1.286451612903226,26,31,5,1,Low-demand Product
189,20654,339,414.63,1.2410588235294118,65,84,8,1,Low-demand Product
190,20655,264,321.02,1.2656382978723404,55,91,4,1,Low-demand Product
191,20657,273,264.71,1.2414084507042253,54,71,6,1,Low-demand Product
192,20658,1317,1641.69,1.2483333333333333,153,223,9,1,Low-demand Product
193,20659,287,380.81,1.352197802197802,55,89,4,1,Low-demand Product
194,20660,71,88.75,1.25,22,26,2,1,Low-demand Product
195,20661,238,560.5000000000001,3.0188372093023257,37,42,7,1,Low-demand Product
196,20662,151,301.45000000000005,2.9388,23,25,6,1,Low-demand Product
197,20663,91,116.37,2.742,13,15,4,1,Low-demand Product
198,20664,31,91.45000000000002,2.95,11,16,1,1,Low-demand Product
199,20665,1165,3419.9500000000003,2.942792792792793,167,222,17,1,Low-demand Product
200,20666,125,213.83,2.679090909090909,22,22,4,1,Low-demand Product
201,20667,21,61.95,2.95,6,9,1,1,Low-demand Product
202,20668,7192,851.6999999999999,0.1186624203821656,181,309,7,2,Potential Product
203,20669,618,770.22,1.2486231884057972,103,132,5,1,Low-demand Product
204,20670,118,203.66000000000003,2.955454545454546,20,22,3,1,Low-demand Product
205,20671,686,852.37,1.2482075471698113,70,106,5,1,Low-demand Product
206,20672,116,145.0,1.25,21,22,2,1,Low-demand Product
207,20673,5,6.25,1.25,2,2,1,1,Low-demand Product
208,20674,2681,3306.29,1.2486225895316805,196,360,14,2,Potential Product
209,20675,4328,5262.44,1.2419925512104284,281,533,20,2,Potential Product
210,20676,6685,8078.3,1.2405670816044259,372,720,22,2,Potential Product
211,20677,4807,5817.15,1.2475317604355716,268,545,22,2,Potential Product
212,20678,4,6.6,1.65,1,1,1,1,Low-demand Product
213,20679,3332,18579.45,5.803691813804174,271,622,16,2,Potential Product
214,20680,6,19.5,3.25,4,4,1,1,Low-demand Product
215,20681,1204,3863.5,3.2409420289855073,184,274,13,2,Potential Product
216,20682,2595,8317.91,3.2656340956340957,296,478,17,2,Potential Product
217,20683,1,3.25,3.25,1,1,1,1,Low-demand Product
218,20684,527,1690.25,3.240506329113924,117,157,8,1,Low-demand Product
219,20685,7278,49288.9,7.189364435429344,626,1478,19,0,Mid-range Popular Product
220,20686,561,1817.63,3.264875,117,160,8,1,Low-demand Product
221,20688,69,130.05,4.45,9,9,2,4,High-end Niche Product
222,20689,91,296.95,5.598148148148148,25,27,7,4,High-end Niche Product
223,20692,552,2208.0,4.177966101694915,75,116,6,4,High-end Niche Product
224,20693,26,110.5,4.25,10,12,2,4,High-end Niche Product
225,20694,112,408.48,3.7084615384615387,23,25,5,1,Low-demand Product
226,20695,82,332.0,4.173076923076923,24,26,4,4,High-end Niche Product
227,20696,123,461.25,3.75,28,34,7,1,Low-demand Product
228,20697,38,91.5,2.5026315789473683,17,19,1,1,Low-demand Product
229,20698,43,104.25,2.5026315789473683,17,18,1,1,Low-demand Product
230,20699,208,519.6,2.5304347826086953,42,45,6,1,Low-demand Product
231,20700,102,187.5,3.125,11,12,3,1,Low-demand Product
232,20701,96,165.0,3.173076923076923,12,13,3,1,Low-demand Product
233,20702,740,3110.5,4.235416666666667,151,237,15,4,High-end Niche Product
234,20703,459,1938.25,4.234848484848484,122,165,14,4,High-end Niche Product
235,20704,332,1162.6000000000001,5.3,60,64,9,4,High-end Niche Product
236,20705,256,934.2,5.386734693877551,47,49,7,4,High-end Niche Product
237,20707,523,579.92,1.34859375,48,63,7,1,Low-demand Product
238,20711,6298,11940.69,1.9533382789317506,326,671,13,2,Potential Product
239,20712,9074,17587.2,1.9862594594594594,387,915,19,0,Mid-range Popular Product
240,20713,9376,17909.38,1.967599569429494,371,920,16,0,Mid-range Popular Product
241,20714,256,108.59,0.5975,10,12,2,1,Low-demand Product
242,20715,27,28.62,1.06,1,1,1,1,Low-demand Product
243,20716,1310,1617.74,1.2444767441860465,121,169,8,1,Low-demand Product
244,20717,3937,4849.61,1.2579487179487179,283,500,14,2,Potential Product
245,20718,8147,9963.74,1.2496900114810563,428,866,18,0,Mid-range Popular Product
246,20719,12347,10170.99,0.8416168224299065,365,1062,17,0,Mid-range Popular Product
247,20721,1,0.85,0.85,1,1,1,1,Low-demand Product
248,20723,10124,8414.039999999999,0.8501305220883534,356,988,15,0,Mid-range Popular Product
249,20724,16908,14014.82,0.8446516257465162,524,1495,18,0,Mid-range Popular Product
250,20725,26114,42340.08,1.6461441165197392,845,2579,20,3,Bestseller Product
251,20726,14280,23303.36,1.6512445550715618,585,1585,19,0,Mid-range Popular Product
252,20727,17452,28344.78,1.6399951100244499,705,1997,15,0,Mid-range Popular Product
253,20728,15906,25913.36,1.6495274725274724,702,1797,20,0,Mid-range Popular Product
254,20729,440,512.7,1.227910447761194,39,67,7,1,Low-demand Product
255,20730,283,315.12,1.2139024390243902,34,41,5,1,Low-demand Product
256,20731,408,334.23,1.1084782608695654,40,46,3,1,Low-demand Product
257,20733,818,609.05,0.8098039215686273,67,101,6,1,Low-demand Product
258,20734,652,543.67,0.8442647058823529,50,68,7,1,Low-demand Product
259,20735,359,253.2,0.8123809523809524,30,63,2,1,Low-demand Product
260,20736,170,140.99,0.8427777777777777,18,18,1,1,Low-demand Product
261,20738,819,682.11,0.842,46,65,5,1,Low-demand Product
262,20747,277,2077.5,7.5,48,70,5,4,High-end Niche Product
263,20748,359,2245.2,7.282017543859649,86,114,5,4,High-end Niche Product
264,20749,2646,18440.03,7.371865569272977,426,726,18,2,Potential Product
265,20750,3368,23560.629999999997,7.37309633027523,471,867,23,0,Mid-range Popular Product
266,20751,2592,5405.070000000001,2.096177156177156,264,408,13,2,Potential Product
267,20752,1050,2036.2500000000002,2.0768518518518517,188,270,11,1,Low-demand Product
268,20753,187,391.1,2.057894736842105,30,38,3,1,Low-demand Product
269,20754,3546,7177.2300000000005,2.0844152046783626,363,679,16,2,Potential Product
270,20755,563,452.63,0.8388372093023256,74,86,5,1,Low-demand Product
271,20756,213,155.13,0.8281818181818181,40,44,4,1,Low-demand Product
272,20757,309,237.51,0.8467857142857144,49,55,2,1,Low-demand Product
273,20758,383,299.63,0.8373684210526315,61,74,4,1,Low-demand Product
274,20759,259,194.23,0.8281818181818181,35,44,3,1,Low-demand Product
275,20760,462,361.10999999999996,0.8305,47,59,5,1,Low-demand Product
276,20761,339,1106.37,3.703931623931624,93,116,4,1,Low-demand Product
277,20762,342,1070.71,3.6717117117117115,88,111,3,1,Low-demand Product
278,20763,219,565.86,3.5450847457627117,54,59,2,1,Low-demand Product
279,20764,513,1591.38,3.6902068965517243,107,144,6,1,Low-demand Product
280,20765,331,1003.79,3.725454545454545,96,120,2,1,Low-demand Product
281,20766,401,1244.98,3.6837600000000004,100,123,5,1,Low-demand Product
282,20767,606,1345.37,2.516013513513513,112,148,5,1,Low-demand Product
283,20768,549,1149.01,2.468034188034188,98,117,3,1,Low-demand Product
284,20769,295,582.92,2.4574193548387093,48,61,5,1,Low-demand Product
285,20770,695,1497.75,2.4328947368421048,94,113,6,1,Low-demand Product
286,20771,461,964.2099999999999,2.472410714285714,91,112,5,1,Low-demand Product
287,20772,720,1401.46,2.3989312977099235,105,130,5,1,Low-demand Product
288,20773,290,437.99999999999994,1.6346938775510202,78,95,3,1,Low-demand Product
289,20774,246,365.4,1.6305194805194805,68,76,4,1,Low-demand Product
290,20775,176,249.89999999999998,1.622222222222222,43,53,2,1,Low-demand Product
291,20776,174,246.59999999999997,1.622222222222222,50,53,5,1,Low-demand Product
292,20777,299,452.84999999999997,1.6342105263157896,78,94,6,1,Low-demand Product
293,20778,262,391.79999999999995,1.6314814814814815,66,80,4,1,Low-demand Product
294,20780,165,812.46,5.42360655737705,35,58,5,4,High-end Niche Product
295,20781,77,373.17,5.230975609756097,34,41,4,4,High-end Niche Product
296,20782,101,552.96,5.460000000000001,39,51,4,4,High-end Niche Product
297,20783,118,602.46,5.440588235294118,20,34,3,4,High-end Niche Product
298,20784,26,195.0,7.5,6,8,1,4,High-end Niche Product
299,20785,44,330.0,7.5,14,17,2,4,High-end Niche Product
300,20786,22,165.0,7.5,9,9,1,4,High-end Niche Product
301,20787,11,82.5,7.5,7,8,1,4,High-end Niche Product
302,20791,5,37.5,7.5,1,1,1,4,High-end Niche Product
303,20793,60,243.0,6.35,13,15,2,4,High-end Niche Product
304,20794,190,480.9,2.5354838709677416,27,30,3,1,Low-demand Product
305,20795,107,213.63,2.0758823529411763,15,17,3,1,Low-demand Product
306,20796,88,145.2,1.65,11,13,2,1,Low-demand Product
307,20798,382,765.75,2.068604651162791,35,41,4,1,Low-demand Product
308,20799,90,153.9,2.0,11,13,3,1,Low-demand Product
309,20800,31,16.95,1.4,2,2,2,1,Low-demand Product
310,20801,793,762.91,1.3373972602739725,61,69,4,1,Low-demand Product
311,20802,742,1008.8399999999999,1.545,68,76,2,1,Low-demand Product
312,20803,719,530.0699999999999,1.0755737704918034,50,61,4,1,Low-demand Product
313,20804,166,268.5,1.6416666666666666,21,24,1,1,Low-demand Product
314,20812,5,12.75,2.55,3,3,1,1,Low-demand Product
315,20814,124,139.61,1.2025,7,12,1,1,Low-demand Product
316,20816,24,123.6,5.378571428571428,5,7,2,4,High-end Niche Product
317,20818,79,211.25,3.522727272727273,20,22,3,1,Low-demand Product
318,20819,208,543.71,3.6242,39,50,7,1,Low-demand Product
319,20820,11,54.45,4.95,6,8,1,4,High-end Niche Product
320,20821,26,128.70000000000002,4.95,10,10,1,4,High-end Niche Product
321,20822,2,9.3,4.65,1,1,1,4,High-end Niche Product
322,20823,185,390.77000000000004,3.013529411764706,14,17,1,1,Low-demand Product
323,20825,78,273.06,3.6300000000000003,5,6,1,1,Low-demand Product
324,20826,217,200.57000000000002,1.3478571428571429,11,14,1,1,Low-demand Product
325,20827,107,147.29000000000002,1.63375,5,8,1,1,Low-demand Product
326,20828,3011,7412.099999999999,2.530813953488372,261,499,6,2,Potential Product
327,20829,2809,5806.92,2.1146135265700483,207,404,4,2,Potential Product
328,20830,227,442.95000000000005,2.073404255319149,36,46,3,1,Low-demand Product
329,20831,304,500.70000000000005,1.943269230769231,34,51,5,1,Low-demand Product
330,20832,1321,856.13,0.7022115384615385,86,103,2,1,Low-demand Product
331,20833,52,390.0,7.5,3,5,1,4,High-end Niche Product
332,20835,78,64.97999999999999,0.8325,8,8,2,1,Low-demand Product
333,20836,224,250.0,1.1209090909090909,18,22,2,1,Low-demand Product
334,20837,165,188.07,1.1844444444444444,17,18,3,1,Low-demand Product
335,20838,382,379.64,1.1817948717948719,36,39,4,1,Low-demand Product
336,20839,507,574.09,1.3456666666666666,53,60,5,1,Low-demand Product
337,20840,627,711.83,1.3365573770491803,50,60,6,1,Low-demand Product
338,20845,73,463.54999999999995,6.35,15,21,2,4,High-end Niche Product
339,20846,1239,1539.34,1.254885496183206,105,127,7,1,Low-demand Product
340,20847,71,266.25,3.75,17,20,3,1,Low-demand Product
341,20848,39,115.05000000000001,2.9500000000000006,10,12,1,1,Low-demand Product
342,20849,100,245.4,3.5100000000000002,15,20,2,1,Low-demand Product
343,20850,151,379.30000000000007,2.8434782608695657,19,23,2,1,Low-demand Product
344,20851,73,287.2,5.755357142857143,21,27,2,4,High-end Niche Product
345,20854,301,491.25,1.6476190476190478,66,83,4,1,Low-demand Product
346,20855,142,234.29999999999998,1.65,41,47,3,1,Low-demand Product
347,20856,332,547.8,1.65,70,88,6,1,Low-demand Product
348,20857,248,409.2,1.65,57,72,5,1,Low-demand Product
349,20858,4,6.6,1.65,1,1,1,1,Low-demand Product
350,20860,19,39.900000000000006,2.1,10,10,1,1,Low-demand Product
351,20861,45,94.5,2.1,15,15,2,1,Low-demand Product
352,20862,226,463.53000000000003,2.0853571428571427,21,28,4,1,Low-demand Product
353,20863,211,409.89,2.0707142857142857,35,42,4,1,Low-demand Product
354,20864,174,330.03,2.0514814814814817,20,26,4,1,Low-demand Product
355,20865,174,332.19,2.059,24,30,4,1,Low-demand Product
356,20866,624,751.52,1.263448275862069,76,87,8,1,Low-demand Product
357,20867,589,686.99,1.2249350649350648,68,75,9,1,Low-demand Product
358,20868,348,205.49,0.7671739130434783,40,46,3,1,Low-demand Product
359,20869,213,131.68,0.713125,30,31,3,1,Low-demand Product
360,20870,26,39.300000000000004,1.8875000000000002,4,4,1,1,Low-demand Product
361,20871,803,1214.55,1.8384615384615386,72,76,5,1,Low-demand Product
362,20877,10,4.2,0.42,3,3,1,1,Low-demand Product
363,20878,620,760.75,1.2417391304347827,61,67,2,1,Low-demand Product
364,20879,50,32.5,0.65,8,8,1,1,Low-demand Product
365,20881,2,1.7,0.85,1,1,1,1,Low-demand Product
366,20882,2,5.9,2.95,1,1,1,1,Low-demand Product
367,20884,2,4.2,2.1,2,2,1,1,Low-demand Product
368,20885,1,2.95,2.95,1,1,1,1,Low-demand Product
369,20886,1433,2743.95,1.9379518072289157,163,244,8,1,Low-demand Product
370,20887,5,17.25,3.45,4,4,1,1,Low-demand Product
371,20888,146,233.56,2.3536363636363635,10,11,2,1,Low-demand Product
372,20889,163,182.5,2.029166666666667,12,12,3,1,Low-demand Product
373,20890,4,15.0,3.75,1,1,1,1,Low-demand Product
374,20891,2,15.0,7.5,1,1,1,4,High-end Niche Product
375,20892,86,503.0,6.728260869565218,21,23,3,4,High-end Niche Product
376,20893,353,821.85,2.502272727272727,41,63,3,1,Low-demand Product
377,20894,218,627.5,2.9368852459016392,47,60,2,1,Low-demand Product
378,20895,16,47.20000000000001,2.95,3,4,1,1,Low-demand Product
379,20896,38,112.10000000000001,2.95,13,13,2,1,Low-demand Product
380,20897,157,406.45000000000005,2.8932432432432433,29,37,3,1,Low-demand Product
381,20898,190,473.80000000000007,2.862820512820513,35,37,4,1,Low-demand Product
382,20899,44,129.8,2.95,12,12,1,1,Low-demand Product
383,20901,33,209.54999999999998,6.35,14,16,3,4,High-end Niche Product
384,20902,69,313.34999999999997,6.003333333333333,11,15,5,4,High-end Niche Product
385,20903,103,337.25,5.655263157894736,19,19,3,4,High-end Niche Product
386,20905,6,38.1,6.349999999999999,3,3,1,4,High-end Niche Product
387,20906,77,227.15000000000003,2.95,25,28,2,1,Low-demand Product
388,20910,80,488.79999999999995,6.321428571428571,11,28,1,4,High-end Niche Product
